text,label,roberta,roberta_score,input_length,gpt2,gpt2_score,roberta_latency_ms,gpt2_latency_ms,deberta,deberta_score,deberta_latency_ms
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,negative,0.8047260642051697,96,positive,0.9134505987167358,3004.9679999938235,3267.5027909863275,negative,0.6670677065849304,289.6763749886304
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,neutral,0.8669487237930298,72,neutral,0.7534046173095703,44.32695798459463,39.96520800865255,neutral,0.7231486439704895,240.529874979984
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,neutral,0.7637239098548889,87,positive,0.9999619722366332,36.559708998538554,33.581416006200016,negative,0.6875914335250854,229.93074997793883
I think I may be finally in with the in crowd #mannequinchallenge  #grads2014 @user,positive,positive,0.7740470767021179,83,positive,0.8987836837768555,37.761583022074774,32.05899999011308,positive,0.8819040656089783,233.93116699298844
"@user Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",negative,neutral,0.4163974821567535,133,positive,0.9864314198493958,37.504541978705674,41.584791004424915,negative,0.7392348051071167,232.30570898158476
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,neutral,0.4963688552379608,103,negative,0.9999295473098756,38.707333005731925,32.504750008229166,negative,0.5169714093208313,238.7133750016801
How many more days until opening day? 😩,neutral,neutral,0.4665711522102356,39,negative,0.999988317489624,39.409165998222306,23.829667014069855,neutral,0.9604577422142028,244.8962080234196
Twitter's #ThankYouObama Shows Heartfelt Gratitude To POTUS,positive,positive,0.947964072227478,59,positive,0.9995934367179872,41.63220798363909,30.950791988288984,positive,0.97543203830719,253.89958400046453
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,negative,0.5159922242164612,112,positive,0.9999923706054688,38.61529097775929,31.512875022599474,negative,0.5816814303398132,232.00095901847817
@user @user @user @user @user @user take away illegals and dead people and Trump wins popular vote too.,negative,neutral,0.6462966799736023,103,positive,0.7922831177711487,38.80758400191553,30.85020897560753,negative,0.5369937419891357,241.51991700637151
An interesting security vulnerability - albeit not for the everyday car thief,neutral,neutral,0.5802545547485352,77,positive,0.999924898147583,41.53179199784063,24.96541599975899,neutral,0.6755176782608032,248.84691700572148
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,neutral,0.7971653938293457,77,neutral,0.99989914894104,39.31200000806712,32.99691597931087,neutral,0.9006075263023376,237.4125829956029
#onedirection #harrystyles cute little dance 😉,positive,positive,0.9007453322410583,46,positive,0.996944010257721,41.0775410127826,23.35829200455919,positive,0.9175369143486024,251.46337499609217
"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",negative,negative,0.5906877517700195,140,neutral,0.99999737739563,43.418083019787446,42.727041989564896,neutral,0.552535355091095,267.1963750035502
Swampbitch Nasty Pelosi  loves yelling 'Fire' in the crowded swamp. #blackfriday @user,negative,negative,0.8432438373565674,86,positive,0.7428634166717529,39.817415992729366,33.33066700724885,negative,0.9518502950668336,255.16245802282356
